ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,length,slice index
10,6.507176773,0.97863513,4.299079036,0.985715632,2/10/2023,2.208097737,66,65
10,5.837038385,0.992145559,4.605578924,0.989506533,2/24/2023,1.231459461,57,52
14,10.22548088,0.975731773,6.157610049,0.950478089,1/27/2023,4.067870833,41,34
14,12.18888008,0.937454706,6.709404303,0.962629939,2/10/2023,5.479475772,31,30
14,10.04897175,0.856785557,6.05219024,0.877518119,2/24/2023,3.996781513,19,18
14,12.2652717,0.914638744,9.538449171,0.940631073,3/10/2023,2.726822529,30,24
14,19.41572553,0.904630336,4.77540644,0.958470095,4/21/2023,14.64031909,60,59
14,17.98507553,0.940077608,5.714472541,0.899408196,5/12/2023,12.27060299,38,33
14,9.342557893,0.984149208,6.343850777,0.967115327,5/19/2023,2.998707116,54,44
14,16.15638847,0.918390713,6.043021251,0.971121239,5/5/2023,10.11336722,44,43
16,4.470183614,0.950251113,2.561113559,0.935219835,1/13/2023,1.909070056,160,77
16,3.510785863,0.96281565,2.453138048,0.937816374,1/27/2023,1.057647815,78,56
16,5.487574529,0.983691362,4.397884516,0.967362616,2/24/2023,1.089690013,52,31
16,6.112650234,0.976251476,3.386908078,0.927258478,3/10/2023,2.725742155,57,56
16,5.311070313,0.983977094,4.120134435,0.952637978,5/12/2023,1.190935878,48,47
16,5.887249408,0.962814438,3.288500259,0.917827809,5/19/2023,2.598749149,76,49
16,5.405320855,0.988625591,4.40445961,0.972689346,5/5/2023,1.000861245,61,38
18,5.292970114,0.984203379,4.16041718,0.994332686,2/10/2023,1.132552933,70,69
18,5.390087825,0.990025062,3.920489954,0.988711107,5/12/2023,1.469597871,72,68
18,6.084859558,0.98957984,5.011342143,0.993853267,5/19/2023,1.073517415,61,48
19,9.522346483,0.9639264,7.701388664,0.977376833,2/10/2023,1.820957819,28,22
22,14.87027597,0.801811811,10.64136008,0.763303212,3/10/2023,4.228915893,6,5
22,6.699997848,0.994710845,5.355837648,0.970140861,4/28/2023,1.3441602,54,38
22,7.845453599,0.983705658,4.360089264,0.926544428,5/19/2023,3.485364335,49,45
33,7.312034643,0.97090696,5.679246651,0.969061337,1/27/2023,1.632787991,32,31
33,7.866729122,0.942968863,9.277587469,0.917625789,3/10/2023,1.410858347,37,10
33,10.18442404,0.981202141,6.857641146,0.972253754,3/24/2023,3.32678289,57,31
33,6.996766482,0.980291908,5.020284372,0.984983279,4/21/2023,1.97648211,78,44
33,8.045700924,0.988694508,6.034660592,0.972199592,5/12/2023,2.011040332,59,46
33,7.159244402,0.984309512,5.388501592,0.990045507,5/5/2023,1.77074281,46,45
34,9.878528594,0.964318033,6.641130886,0.986958816,2/10/2023,3.237397708,48,39
34,8.142277011,0.986399118,6.045408193,0.984414261,3/24/2023,2.096868819,37,36
34,8.357886304,0.987427572,6.271742888,0.992688565,5/19/2023,2.086143416,47,46
34,6.718128141,0.991555977,5.693039063,0.993475435,5/5/2023,1.025089078,52,42
40,5.865579242,0.893406014,2.923791619,0.863525618,5/19/2023,2.941787623,92,43
40,3.981890678,0.346989903,5.945457234,0.384500151,5/5/2023,1.963566556,101,6
41,11.72064329,0.846988399,4.504424511,0.95441066,2/20/2023,7.216218783,45,44
41,4.972225372,0.906711827,3.635320694,0.977866165,3/10/2023,1.336904678,63,47
42,11.36830626,0.861888359,9.200381203,0.768727063,2/16/2023,2.167925053,34,7
43,26.81135232,0.679220097,39.01288459,0.687021774,4/21/2023,12.20153226,87,2
43,14.39420781,0.877340006,16.34996418,0.917918902,5/19/2023,1.955756363,92,5
45,25.56291923,0.680251938,30.86593252,0.700120006,2/24/2023,5.303013291,55,3
45,3.906363134,0.957538195,2.823932558,0.974939322,5/19/2023,1.082430576,87,65
45,4.763895944,0.966597018,3.259485702,0.967717539,5/5/2023,1.504410242,79,63
46,35.33337631,0.966409471,32.08990402,0.923058155,2/16/2023,3.243472293,8,2
46,7.776557759,0.936996109,4.985413298,0.931256755,2/22/2023,2.791144461,43,33
46,4.405333382,0.806628966,3.687397575,0.802027772,5/19/2023,0.717935807,134,11
