ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,length,slice index
10,4.823770642,0.989589145,4.604380982,0.990794085,1/13/2023,0.21938966,76,40
10,0,0,0,0,2/10/2023,0,0,0
10,0,0,0,0,2/24/2023,0,0,0
10,8.576156651,0.958289727,7.825908622,0.984808878,5/19/2023,0.750248029,56,33
14,0,0,0,0,1/27/2023,0,0,0
14,0,0,0,0,2/10/2023,0,0,0
14,0,0,0,0,2/24/2023,0,0,0
14,0,0,0,0,3/10/2023,0,0,0
14,0,0,0,0,4/21/2023,0,0,0
14,0,0,0,0,5/12/2023,0,0,0
14,0,0,0,0,5/19/2023,0,0,0
14,0,0,0,0,5/5/2023,0,0,0
15,7.04142268,0.992193369,6.555340787,0.994622115,1/27/2023,0.486081893,56,40
16,0,0,0,0,1/13/2023,0,0,0
16,0,0,0,0,1/27/2023,0,0,0
16,4.312095543,0.96317726,3.387056131,0.929753822,12/23/2022,0.925039411,39,31
16,5.89344504,0.989969291,5.022747713,0.978815351,2/10/2023,0.870697326,58,34
16,0,0,0,0,2/24/2023,0,0,0
16,0,0,0,0,3/10/2023,0,0,0
16,5.663400482,0.981693487,5.609687551,0.983831724,3/24/2023,0.053712931,48,20
16,0,0,0,0,5/12/2023,0,0,0
16,0,0,0,0,5/19/2023,0,0,0
16,0,0,0,0,5/5/2023,0,0,0
18,0,0,0,0,2/10/2023,0,0,0
18,5.296027675,0.985797247,4.414220563,0.99505496,2/24/2023,0.881807112,67,54
18,0,0,0,0,5/12/2023,0,0,0
18,0,0,0,0,5/19/2023,0,0,0
19,0,0,0,0,2/10/2023,0,0,0
22,0,0,0,0,3/10/2023,0,0,0
22,0,0,0,0,4/28/2023,0,0,0
22,6.254791735,0.982610041,5.267303701,0.964613074,5/12/2023,0.987488034,47,23
22,0,0,0,0,5/19/2023,0,0,0
22,6.815229169,0.991298657,6.30027606,0.987691572,5/5/2023,0.514953109,40,27
33,0,0,0,0,1/27/2023,0,0,0
33,0,0,0,0,3/10/2023,0,0,0
33,0,0,0,0,3/24/2023,0,0,0
33,0,0,0,0,4/21/2023,0,0,0
33,0,0,0,0,5/12/2023,0,0,0
33,0,0,0,0,5/5/2023,0,0,0
34,6.871176931,0.990457536,7.562657339,0.992423148,1/27/2023,0.691480408,40,25
34,0,0,0,0,2/10/2023,0,0,0
34,0,0,0,0,3/24/2023,0,0,0
34,6.460727418,0.99440464,5.524459629,0.990452982,4/21/2023,0.936267789,53,39
34,0,0,0,0,5/19/2023,0,0,0
34,0,0,0,0,5/5/2023,0,0,0
40,0,0,0,0,5/19/2023,0,0,0
40,0,0,0,0,5/5/2023,0,0,0
41,0,0,0,0,2/20/2023,0,0,0
41,0,0,0,0,3/10/2023,0,0,0
42,0,0,0,0,2/16/2023,0,0,0
42,13.29329456,0.924670354,14.15070807,0.949997367,5/12/2023,0.85741351,39,7
43,3.861628598,0.962088808,2.94978696,0.970442355,2/20/2023,0.911841638,81,52
43,0,0,0,0,4/21/2023,0,0,0
43,3.851293783,0.940903512,3.026726883,0.97309187,5/12/2023,0.8245669,67,49
43,0,0,0,0,5/19/2023,0,0,0
44,4.34579603,0.975043725,3.425960795,0.949489973,2/16/2023,0.919835235,59,47
44,2.750426635,0.975034281,2.903387464,0.961467711,5/12/2023,0.152960829,122,24
45,0,0,0,0,2/24/2023,0,0,0
45,3.484723549,0.946876926,2.527503116,0.96710444,5/12/2023,0.957220433,87,66
45,0,0,0,0,5/19/2023,0,0,0
45,0,0,0,0,5/5/2023,0,0,0
46,0,0,0,0,2/16/2023,0,0,0
46,0,0,0,0,2/22/2023,0,0,0
46,4.78317557,0.984603111,3.914388078,0.970552455,2/24/2023,0.868787493,51,38
46,0,0,0,0,5/19/2023,0,0,0
47,7.690068088,0.985083925,7.810680985,0.983967294,3/10/2023,0.120612897,89,3
47,3.927150476,0.951403267,3.455000731,0.986693137,4/21/2023,0.472149745,94,39
47,3.771362888,0.983321336,2.967868994,0.960515106,5/5/2023,0.803493894,79,55
