ID,ACH Exponetial Fit,R Sqaure Exponetial Fit,ACH Linear Fit,R Square Linear Fit,Date,Diff ACH,length,slice index
10,0,0,0,0,1/12/2023,0,0,0
10,2.209095789,0.948674431,1.750512922,0.941137542,12/18/2022,0.458582867,182,58
10,0,0,0,0,2/9/2023,0,0,0
10,0,0,0,0,5/18/2023,0,0,0
14,0,0,0,0,1/12/2023,0,0,0
14,0,0,0,0,1/26/2023,0,0,0
14,0,0,0,0,11/28/2023,0,0,0
14,0,0,0,0,2/23/2023,0,0,0
14,0,0,0,0,2/9/2023,0,0,0
14,0,0,0,0,3/23/2023,0,0,0
14,0,0,0,0,4/6/2023,0,0,0
14,12.64666142,0.989380116,12.89975663,0.987401351,4/20/2023,0.25309521,100,2
14,0,0,0,0,5/11/2023,0,0,0
14,3.322593229,0.931936068,2.477816484,0.97297524,5/18/2023,0.844776745,117,96
14,0,0,0,0,5/4/2023,0,0,0
15,3.054997787,0.98647927,2.440476865,0.987573085,5/4/2023,0.614520922,814,73
16,2.934726116,0.970472926,2.21370755,0.962845945,1/26/2023,0.721018566,158,63
16,0,0,0,0,12/11/2022,0,0,0
16,3.700181667,0.95861988,2.874459898,0.950177231,2/23/2023,0.82572177,76,39
16,3.359880513,0.970380754,2.714223098,0.961023454,2/9/2023,0.645657415,102,47
16,0,0,0,0,3/9/2023,0,0,0
16,3.078704511,0.96291447,2.298885738,0.954421332,4/6/2023,0.779818773,202,58
16,0,0,0,0,4/7/2023,0,0,0
16,0,0,0,0,5/11/2023,0,0,0
16,0,0,0,0,5/18/2023,0,0,0
16,0,0,0,0,5/4/2023,0,0,0
18,4.146866542,0.977961846,3.185095859,0.990053527,1/26/2023,0.961770683,85,69
19,0,0,0,0,12/11/2022,0,0,0
19,3.857327346,0.992600973,3.433596511,0.982899574,3/9/2023,0.423730834,100,40
20,2.945486284,0.98756521,2.433167001,0.989424693,5/11/2023,0.512319283,123,80
22,2.93057494,0.949150078,1.995295391,0.885102398,3/9/2023,0.935279548,64,58
22,0,0,0,0,4/6/2023,0,0,0
22,0,0,0,0,4/27/2023,0,0,0
22,3.812402535,0.988685974,3.700332216,0.985299725,5/11/2023,0.112070318,77,30
22,0,0,0,0,5/18/2023,0,0,0
22,4.608148224,0.990359,4.502581848,0.989857815,5/4/2023,0.105566376,55,24
33,0,0,0,0,1/12/2023,0,0,0
33,0,0,0,0,12/18/2022,0,0,0
33,5.682548297,0.954933828,5.260254861,0.948940994,2/23/2023,0.422293436,86,13
33,0,0,0,0,2/9/2023,0,0,0
33,4.796526991,0.966572559,3.880621474,0.947025382,3/9/2023,0.915905517,44,32
33,0,0,0,0,3/23/2023,0,0,0
33,3.616105945,0.955304467,2.963143292,0.980143207,4/6/2023,0.652962654,97,45
33,9.761585584,0.976129295,9.840631823,0.96085162,4/7/2023,0.079046239,73,8
33,0,0,0,0,4/20/2023,0,0,0
33,0,0,0,0,5/11/2023,0,0,0
33,3.480346929,0.965827812,2.588736747,0.98881469,5/18/2023,0.891610182,145,78
33,5.953937595,0.987125307,5.192251702,0.992416838,5/4/2023,0.761685893,119,29
34,0,0,0,0,2/23/2023,0,0,0
34,0,0,0,0,4/20/2023,0,0,0
34,0,0,0,0,5/18/2023,0,0,0
34,3.685202171,0.940702307,2.724958077,0.975059248,5/4/2023,0.960244094,106,62
40,0,0,0,0,4/7/2023,0,0,0
41,0,0,0,0,4/20/2023,0,0,0
42,0,0,0,0,2/3/2023,0,0,0
42,0,0,0,0,5/4/2023,0,0,0
43,0,0,0,0,4/7/2023,0,0,0
43,0,0,0,0,5/18/2023,0,0,0
44,0,0,0,0,2/23/2023,0,0,0
44,0,0,0,0,4/7/2023,0,0,0
44,2.120065983,0.91930029,1.824761799,0.927559568,5/18/2023,0.295304183,558,56
44,0,0,0,0,5/4/2023,0,0,0
45,0,0,0,0,5/4/2023,0,0,0
46,4.464539395,0.927474875,4.516182116,0.90436055,4/6/2023,0.051642721,647,15
46,1.957067728,0.970761109,1.99417139,0.971306128,4/7/2023,0.037103662,118,46
46,0,0,0,0,4/20/2023,0,0,0
46,0,0,0,0,5/11/2023,0,0,0
46,0,0,0,0,5/18/2023,0,0,0
47,1.597685994,0.828635995,1.121889022,0.915585767,4/6/2023,0.475796972,782,110
47,0.871883335,0.911183405,0.790810084,0.902856201,4/20/2023,0.081073251,629,95
47,0,0,0,0,5/11/2023,0,0,0
