Local Date/Time,PM2.5 avg,PM2.5 avg (US AQI),Temperature avg (°C),Heat Index avg (°C),Humidity avg (%),TVOC avg (ppb),TVOC index avg,NOX index avg
6/29/2023 14:20,4,15,24.9,24.3,32,96,102,1
6/29/2023 14:15,6,25,24.9,24.2,31,95,101,1
6/29/2023 14:10,4,19,24.8,24.2,32,92,98,1
6/29/2023 14:05,6,25,24.9,24.3,32,92,98,1
6/29/2023 14:00,10,42,24.9,24.2,31,92,98,1
6/29/2023 13:55,11,46,24.9,24.3,32,92,98,1
6/29/2023 13:50,14,55,24.9,24.3,32,96,102,1
6/29/2023 13:45,26,80,24.9,24.3,32,96,102,1
6/29/2023 13:40,27,82,24.9,24.3,32,95,102,1
6/29/2023 13:35,35,99,24.8,24.2,32,96,102,1
6/29/2023 13:30,44,122,24.8,24.2,32,95,101,1
6/29/2023 13:25,50,136,24.8,24.2,32,95,101,1
6/29/2023 13:20,97,172,24.8,24.2,33,95,102,1
6/29/2023 13:15,169,219,24.7,24.1,33,93,99,1
6/29/2023 13:10,740,500,24.7,24.2,35,93,98,1
6/29/2023 13:05,898,500,24.7,24.2,35,49,47,0
6/29/2023 13:00,858,500,24.7,24.2,35,9,0,0
6/29/2023 12:50,809,500,24.7,24.1,35,60,63,1
6/29/2023 12:45,895,500,24.7,24.1,35,60,63,1
6/29/2023 12:40,924,500,24.7,24.1,35,60,62,1
6/29/2023 12:35,961,500,24.7,24.1,36,63,66,1
6/29/2023 12:30,853,500,24.7,24.1,35,61,64,1
6/29/2023 12:25,816,500,24.6,24.1,35,64,68,1
6/29/2023 12:20,964,500,24.6,24.1,35,65,68,1
6/29/2023 12:15,954,500,24.7,24.1,36,66,70,1
6/29/2023 12:10,816,500,24.6,24.1,35,66,70,1
6/29/2023 12:05,885,500,24.6,24.1,36,66,70,1
6/29/2023 12:00,876,500,24.6,24.1,36,69,72,1
6/29/2023 11:55,857,500,24.6,24,36,74,78,1
6/29/2023 11:50,972,500,24.6,24,36,80,85,1
6/29/2023 11:45,886,500,24.6,24,36,80,85,1
6/29/2023 11:40,916,500,24.6,24.1,36,86,92,1
6/29/2023 11:35,787,500,24.6,24,35,96,102,1
6/29/2023 11:30,913,500,24.6,24,35,95,101,1
6/29/2023 11:25,800,500,24.6,24,35,95,102,1
6/29/2023 11:20,971,500,24.6,24,36,96,102,1
6/29/2023 11:15,840,500,24.7,24.1,35,95,101,1
6/29/2023 11:10,782,500,24.8,24.2,34,95,101,1
6/29/2023 11:05,0,0,24.8,24.2,33,93,99,1
6/29/2023 11:00,0,0,24.8,24.2,33,89,95,1
6/29/2023 10:55,0,0,25.3,24.6,32,86,91,1
6/29/2023 10:50,0,0,25.9,25.3,31,59,62,1
6/29/2023 10:45,0,0,26,25.5,32,9,0,0
