Classroom,Good,Moderate,Unhealthy,Unhealthy Sensitive,Very Unhealthy,Hazardous
20,100,0,0,0,0,0
33,100,0,0,0,0,0
12,99.94709,0.05291,0,0,0,0
30,99.94518,0.054825,0,0,0,0
22,99.90692,0.093081,0,0,0,0
26,99.89583,0.104167,0,0,0,0
14,99.88571,0.114286,0,0,0,0
4,99.84285,0.15715,0,0,0,0
18,99.83544,0.164564,0,0,0,0
37,99.83425,0.165746,0,0,0,0
2,99.77553,0.224467,0,0,0,0
6,99.73958,0.260417,0,0,0,0
7,99.58333,0.416667,0,0,0,0
21,99.52381,0.47619,0,0,0,0
13,99.42708,0.572917,0,0,0,0
38,99.42529,0.522466,0.052247,0,0,0
1,99.37642,0.623583,0,0,0,0
29,99.37435,0.625652,0,0,0,0
11,99.28962,0.655738,0,0.054645,0,0
3,99.27083,0.677083,0,0.052083,0,0
25,99.26855,0.731452,0,0,0,0
28,99.23035,0.549753,0,0.109951,0.054975,0.054975
24,99.10781,0.669145,0.074349,0.148699,0,0
15,99.10274,0.448632,0.044863,0.358905,0,0.044863
10,98.75389,1.246106,0,0,0,0
27,98.36066,1.311475,0,0.327869,0,0
5,98.26389,1.736111,0,0,0,0
17,98.02632,1.91886,0,0.054825,0,0
35,97.75956,1.803279,0.163934,0.163934,0,0.10929
32,96.81481,2.740741,0.074074,0.37037,0,0
8,95.33295,4.667046,0,0,0,0
36,94.42623,5.245902,0,0.327869,0,0
34,94.37037,3.777778,0.296296,0.444444,0.222222,0.888889
23,93.92593,5.259259,0.296296,0.518519,0,0
31,92.78523,6.096197,0.33557,0.671141,0.111857,0
19,92.10676,7.836457,0,0.056786,0,0
9,88.36066,11.47541,0.054645,0,0.054645,0.054645
16,77.39583,21.61458,0.052083,0.9375,0,0
