Classroom,Good,Moderate,Unhealthy,Unhealthy Sensitive,Very Unhealthy,Hazardous
6,100,0,0,0,0,0
11,100,0,0,0,0,0
20,100,0,0,0,0,0
33,100,0,0,0,0,0
38,100,0,0,0,0,0
4,99.95671,0.04329,0,0,0,0
18,99.95671,0.04329,0,0,0,0
22,99.9566,0.043403,0,0,0,0
5,99.87013,0.12987,0,0,0,0
28,99.87013,0.08658,0,0.04329,0,0
30,99.87013,0.12987,0,0,0,0
14,99.82684,0.12987,0.04329,0,0,0
36,99.82684,0.17316,0,0,0,0
26,99.82594,0.174064,0,0,0,0
3,99.82309,0.132685,0.044228,0,0,0
12,99.78299,0.217014,0,0,0,0
21,99.72678,0.273224,0,0,0,0
17,99.69697,0.30303,0,0,0,0
13,99.69618,0.303819,0,0,0,0
2,99.65368,0.34632,0,0,0,0
34,99.65368,0.25974,0.04329,0.04329,0,0
25,99.61039,0.38961,0,0,0,0
29,99.43723,0.562771,0,0,0,0
15,99.35065,0.562771,0,0,0,0.08658
1,99.30736,0.606061,0,0.08658,0,0
7,99.26407,0.649351,0.04329,0,0.04329,0
27,98.9071,0.765027,0,0.327869,0,0
8,98.88689,1.113106,0,0,0,0
24,98.74513,0.64907,0.216357,0.216357,0.043271,0.129814
25,98.35498,1.645022,0,0,0,0
32,98.18182,1.731602,0.04329,0.04329,0,0
9,97.96095,1.908894,0,0.043384,0,0.086768
23,97.82609,2.173913,0,0,0,0
37,97.22944,2.727273,0,0.04329,0,0
31,97.14286,2.857143,0,0,0,0
19,95.72519,4.274809,0,0,0,0
10,95.47433,4.482158,0,0.043516,0,0
16,75.2381,22.72727,0.21645,1.688312,0.12987,0
