Date,39,40,41,42,43,44,45,46,47,48,49,50,PM10,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
12/1/2022,68.83962691,519.3968571,0,0,0,0,0,0,0,0,0,0,294.118242,29,27
12/2/2022,116.679152,392.6441456,0,0,0,0,0,0,0,0,0,0,254.6616488,42,39
12/5/2022,158.1874125,191.2271184,0,0,0,0,0,0,0,0,0,0,174.7072655,3,3
12/6/2022,56.35453961,217.8978069,0,0,0,0,0,0,0,0,0,0,137.1261733,10,9
12/7/2022,91.59427033,217.8099432,0,0,0,0,0,0,0,0,0,0,154.7021068,11,10
12/8/2022,125.805847,245.0379701,0,0,0,0,0,0,0,0,0,0,185.4219086,9,8
12/9/2022,80.34111818,291.0330192,0,0,0,0,0,0,0,0,0,0,185.6870687,11,10
12/12/2022,94.28111136,222.4073904,0,0,0,0,0,0,0,0,0,0,158.3442509,5,5
12/13/2022,38.86663091,233.0608672,0,0,0,0,0,0,0,0,0,0,135.9637491,5,5
12/14/2022,20.25882286,200.0741,0,0,0,0,0,0,0,0,0,0,110.1664614,7,6
12/15/2022,9.558523438,73.22631538,0,0,0,0,0,0,0,0,0,0,41.39241941,0,0
12/16/2022,9.445198529,131.429059,0,0,0,0,0,0,0,0,0,0,70.43712876,0,0
12/19/2022,19.5577641,110.2673872,0,0,0,0,0,0,0,0,0,0,64.91257565,15,14
12/20/2022,25.94482308,90.08270256,0,0,0,0,0,0,0,0,0,0,58.01376282,21,19
12/21/2022,10.65347692,105.0910462,0,0,0,0,0,0,0,0,0,0,57.87226156,20,19
12/22/2022,14.61431795,147.1463615,0,0,0,0,0,0,0,0,0,0,80.88033973,25,23
1/9/2023,38.82889231,108.8673974,0,0,0,0,0,0,0,0,0,0,73.84814486,20,19
1/10/2023,18.07595313,97.13225455,0,0,0,0,0,0,0,0,0,0,57.60410384,22,20
1/11/2023,19.98202564,109.2315231,0,0,0,0,0,0,0,0,0,0,64.60677437,18,17
1/12/2023,30.84178718,0,0,0,0,0,0,0,0,0,0,0,30.84178718,20,19
1/13/2023,24.39159231,0,0,0,0,0,0,0,0,0,0,0,24.39159231,23,21
1/17/2023,22.51380256,0,0,0,0,0,0,0,0,0,0,0,22.51380256,6,6
1/18/2023,10.9121359,114.7077385,0,0,0,0,0,0,0,0,0,0,62.8099372,16,15
1/19/2023,18.68583077,118.1561846,0,0,0,0,0,0,0,0,0,0,68.42100769,10,9
1/20/2023,28.95610256,123.7716077,0,0,0,0,0,0,0,0,0,0,76.36385513,12,11
1/23/2023,1.032779487,140.707746,0,0,0,0,0,0,0,0,0,0,70.87026274,8,7
1/24/2023,1.339789744,119.8897026,0,0,0,0,0,0,0,0,0,0,60.61474617,10,9
1/25/2023,20.62219487,121.6660205,0,0,0,0,0,0,0,0,0,0,71.14410769,15,14
1/26/2023,28.77175385,105.0393506,0,0,0,0,0,0,0,0,0,0,66.90555223,8,7
1/27/2023,13.77763377,127.6939105,0,0,0,0,0,0,0,0,0,0,70.73577214,15,14
1/30/2023,15.66954103,85.01826753,0,0,0,0,0,0,0,0,0,0,50.34390428,18,17
1/31/2023,40.7912359,119.4259667,0,0,0,0,0,0,0,0,0,0,80.1086013,17,16
