ID,Baseline,Error,ACH2,Error2,ACH2CR,Error2CR,ACH4,Error4,ACH4CR,Error4CR,ACH6,Error6,ACH6CR,Error6CR,ACH8,Error8,ACH8CR,Error8CR,ACH10,Error10,ACH10CR,Error10CR,ACH12,Error12,ACH12CR,Error12CR,ACH14,Error14,ACH14CR,Error14CR,ACH16,Error16,ACH16CR,Error16CR,ACH18,Error18,ACH18CR,Error18CR,ACH20,Error20,ACH20CR,Error20CR,ACH21,Error21,ACH21CR,Error21CR,ACH22,Error22,ACH22CR,Error22CR
22,1.92451,0.933574461,1.83176,0.931292116,2.02377,0.928508094,4.43368,0.987613579,5.22884,0.970567738,4.97733,0.970222835,5.41853,0.955401052,4.936365684,0.980738471,6.407541687,0.980269906,4.571803059,0.987678293,5.527366847,0.972591141,1.826744836,0.865903818,0,0,5.286876042,0.992799635,5.93762219,0.982720188,3.210147966,0.946044932,0,0,2.902711147,0.93028231,4.3569044,0.944467746,3.148568736,0.952850347,5.27345123,0.968812661,2.040862319,0.898129885,2.841982391,0.855804636,3.330930273,0.93418065,4.153382509,0.920380309
18,1.01361,0.929239016,1.99976,0.968716625,3.64125,0.983836984,2.20806,0.98997228,0,0,3.04641,0.98959308,4.97,0.992688229,2.626042966,0.981867258,4.16041718,0.994332686,2.330558695,0.98418559,4.275838292,0.994486383,1.819836058,0.982370011,3.84012729,0.993383031,2.170148986,0.993456656,4.270080183,0.993662968,1.942935702,0.990397636,3.975683132,0.994515187,1.960292196,0.985348359,4.292437265,0.994669375,2.208300438,0.988253522,4.169123676,0.991802698,2.191743349,0.991283314,3.876882375,0.988455215,2.173662952,0.97956623,4.5959292,0.984622124
10,0.40259,0.606283373,0,0,0,0,1.98251,0.884928693,3.74893,0.980530704,2.49579,0.994751143,0,0,2.016910614,0.856514154,4.299079041,0.985715632,1.784456248,0.847314547,4.592264354,0.989438353,1.965650809,0.980034246,3.793405857,0.995365387,2.212421032,0.993766719,4.080203695,0.995569571,1.99529119,0.99244079,3.92834858,0.993320285,2.01358792,0.989315651,4.445002765,0.994981199,2.142610862,0.990636513,2.551383451,0.994770588,2.344016538,0.991832796,2.43478933,0.992052851,2.296645659,0.967979574,6.003800566,0.963029057
20,0.68694,0.885138187,2.26862,0.988873206,0,0,2.14247,0.989055248,3.54146,0.987439538,3.35823,0.975908061,0,0,3.007461939,0.993005377,4.355958884,0.993110169,2.580932772,0.993968283,4.752610908,0.995735634,2.107600889,0.974901385,4.353031328,0.994016928,1.58230709,0.852937751,3.944870993,0.992837407,1.98398497,0.98759566,3.929207092,0.990795633,3.111719209,0.991177692,5.278716485,0.989420848,2.3839664,0.982329855,3.861876474,0.989850997,1.79390553,0.916597482,3.430322515,0.973170059,2.326984472,0.967064695,4.418047501,0.987005453
15,1.21848,0.958690732,2.5375,0.96759608,4.3121,0.960192525,1.86825,0.993458476,4.05475,0.990489408,2.43957,0.979834772,5.35659,0.954348847,1.761370095,0.926135967,6.24856195,0.992836847,2.336432962,0.993495823,6.198565812,0.995188509,1.724538755,0.952179751,6.235102876,0.996205671,2.534753668,0.992307359,5.937380067,0.98808406,2.006534241,0.99026265,6.161422097,0.993607668,2.134198703,0.976909643,6.134628733,0.9938172,2.10554817,0.979871674,5.960050109,0.994798665,1.743156569,0.966058054,5.903787412,0.992169061,1.851100899,0.952032033,5.205383657,0.994480526
34,0.29086,0.993173275,0,0,0,0,2.12844,0.989680941,6.20327,0.981157737,2.61569,0.992852834,3.79482,0.657423102,2.631715085,0.992275854,6.299339495,0.980982088,2.507787935,0.985222018,6.050419138,0.994311528,2.083036728,0.982376794,6.226142066,0.995617376,1.673371219,0.988963765,6.045408195,0.984414261,1.679684386,0.97072926,5.434400224,0.992626248,3.959214117,0.709591492,5.084546428,0.982196824,2.463243535,0.981428537,5.433592887,0.990416612,1.530412644,0.962698088,6.616393561,0.976728406,1.762017235,0.909496724,6.271742888,0.992688565
19,0.10891,0.825256774,0,0,0,0,4.51679,0.972077499,8.93166,0.987518046,3.25741,0.979418428,7.64981,0.989466976,3.695975926,0.977896594,7.12463447,0.974815065,3.902873029,0.958423606,5.091133755,0.955095983,1.602586095,0.844251098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.10565,0.704552052,1.28025,0.895526028,2.81598,0.897625964,0.42232,0.93520317,1.32389,0.861720029,1.26429,0.927924404,1.92892,0.909940342,1.75850279,0.935893596,3.820795259,0.947567495,2.030872048,0.944440817,3.269153936,0.93775184,1.779669985,0.909099593,3.38690808,0.927258478,1.565996908,0.787994436,3.177987211,0.928018381,0.617623267,0.685218686,2.946924393,0.952319566,0,0,0,0,2.509051451,0.922617104,3.347556456,0.946752253,2.448497541,0.915683596,4.120134438,0.952637978,1.817994659,0.833099297,2.270225071,0.86229154
33,0.33653,0.622277823,1.69504,0.936421403,0,0,8.5395,0.957220794,0,0,3.48224,0.912610149,5.67925,0.969061337,3.268791328,0.941147983,8.578537232,0.981015078,2.199479012,0.958877946,0,0,2.943528122,0.889507952,4.980222213,0.947716659,2.961117292,0.931639539,4.867218532,0.9454299,2.39733767,0.983322724,3.898461008,0.970448477,1.932208488,0.949049165,3.912842945,0.965744744,2.210485691,0.849068359,5.388501592,0.990045507,2.0098344,0.960663036,5.143359787,0.949349623,1.945925068,0.96044883,4.529914093,0.957049483
14,2.42284,0.925937283,1.74889,0.932541465,0,0,2.51679,0.917051582,0,0,2.38165,0.91927648,5.55637,0.94297929,2.981182831,0.963580106,6.709404298,0.962629939,3.066939453,0.918180761,6.052190239,0.877518119,2.838150683,0.968461425,8.486640154,0.935029449,3.355811777,0.916742212,0,0,2.043070116,0.919364708,5.470988285,0.96763198,2.392245892,0.941210674,4.775406449,0.958470095,2.522818218,0.970077885,6.043021255,0.971121239,1.901198497,0.907135118,5.252174921,0.897446054,2.217507036,0.964337763,5.367369215,0.941607106
