ID,ACH Linear Fit,R Square Linear Fit,Date,Total Data Point,Index to slice,Id
10,3.748929923,0.980530704,1/13/2023,76,0,A1
10,4.299079041,0.985715632,2/10/2023,66,0,A1
10,4.592264354,0.989438353,2/24/2023,57,0,A1
10,3.793405857,0.995365387,3/10/2023,66,0,A1
10,4.080203695,0.995569571,3/24/2023,63,0,A1
10,4.445002766,0.994981199,4/21/2023,57,0,A1
10,2.43478933,0.992052851,5/12/2023,94,0,A1
10,6.003800566,0.963029057,5/19/2023,56,0,A1
10,2.55138345,0.994770588,5/5/2023,89,0,A1
14,6.157610051,0.950478089,1/27/2023,41,34,A2
14,6.709404297,0.962629939,2/10/2023,31,0,A2
14,9.538449171,0.940631073,3/10/2023,30,24,A2
14,4.77540645,0.958470095,4/21/2023,60,0,A2
14,6.343850757,0.967115327,5/19/2023,54,44,A2
14,6.043021255,0.971121239,5/5/2023,44,0,A2
15,4.054753966,0.990489408,1/13/2023,64,0,A3
15,5.356586799,0.954348847,1/27/2023,56,0,A3
15,4.312103525,0.960192525,12/23/2022,28,0,A3
15,6.24856195,0.992836847,2/10/2023,43,0,A3
15,6.198565812,0.995188509,2/24/2023,44,0,A3
15,6.235102876,0.996205671,3/10/2023,40,0,A3
15,5.937380077,0.98808406,3/24/2023,39,0,A3
15,6.134628733,0.9938172,4/21/2023,48,0,A3
15,5.903787411,0.992169061,5/12/2023,47,0,A3
15,5.205383657,0.994480526,5/19/2023,53,0,A3
15,5.96005011,0.994798665,5/5/2023,48,0,A3
16,2.561113565,0.935219835,1/13/2023,160,77,A4
16,2.453138037,0.937816374,1/27/2023,78,56,A4
16,3.387056129,0.929753822,12/23/2022,39,31,A4
16,5.022747714,0.978815351,2/10/2023,58,34,A4
16,4.397884513,0.967362616,2/24/2023,52,31,A4
16,3.386908062,0.927258478,3/10/2023,57,56,A4
16,4.120134438,0.952637978,5/12/2023,48,0,A4
16,3.288500258,0.917827809,5/19/2023,76,49,A4
16,4.404459613,0.972689346,5/5/2023,61,38,A4
18,4.970057515,0.992688229,1/27/2023,51,0,A5
18,3.641246625,0.983836984,12/23/2022,54,0,A5
18,4.160417179,0.994332686,2/10/2023,70,0,A5
18,4.275838291,0.994486383,2/24/2023,67,0,A5
18,3.840127292,0.993383031,3/10/2023,79,0,A5
18,4.270080184,0.993662968,3/24/2023,67,0,A5
18,4.292437264,0.994669375,4/21/2023,64,0,A5
18,3.876882374,0.988455215,5/12/2023,72,0,A5
18,4.5959292,0.984622124,5/19/2023,61,0,A5
18,4.169123676,0.991802698,5/5/2023,65,0,A5
19,8.93166487,0.987518046,1/13/2023,17,0,A6
19,7.649810936,0.989466976,1/27/2023,16,0,A6
19,7.12463447,0.974815065,2/10/2023,28,0,A6
19,5.091133754,0.955095983,2/24/2023,35,0,A6
20,3.541459557,0.987439538,1/13/2023,69,0,A7
20,4.355958885,0.993110169,2/10/2023,68,0,A7
20,4.752610908,0.995735634,2/24/2023,63,0,A7
20,4.353031328,0.994016928,3/10/2023,67,0,A7
20,3.944870992,0.992837407,3/24/2023,63,0,A7
20,5.278716483,0.989420848,4/28/2023,53,0,A7
20,3.430322515,0.973170059,5/12/2023,78,0,A7
20,4.418047499,0.987005453,5/19/2023,58,0,A7
20,3.861876479,0.989850997,5/5/2023,69,0,A7
22,5.228838576,0.970567738,1/13/2023,18,0,A8
22,5.41852883,0.955401052,1/27/2023,25,0,A8
22,6.40754169,0.980269906,2/10/2023,27,0,A8
22,5.527366846,0.972591141,2/24/2023,27,0,A8
22,5.937622191,0.982720188,3/24/2023,33,0,A8
22,5.355837625,0.970140861,4/28/2023,54,38,A8
22,4.360089258,0.926544428,5/19/2023,49,45,A8
22,5.273451229,0.968812661,5/5/2023,40,0,A8
33,5.679246651,0.969061337,1/27/2023,32,0,A9
33,8.578537233,0.981015078,2/10/2023,23,0,A9
33,2.328580484,0.967957189,2/24/2023,83,0,A9
33,5.593817843,0.957462795,3/24/2023,57,45,A9
33,3.912842946,0.965744744,4/21/2023,78,0,A9
33,6.034660594,0.972199591,5/12/2023,59,46,A9
33,4.610503437,0.967239459,5/19/2023,70,0,A9
33,5.388501591,0.990045507,5/5/2023,46,0,A9
34,6.203267187,0.981157737,1/13/2023,37,0,A10
34,6.299339492,0.980982088,2/10/2023,48,0,A10
34,6.050419138,0.994311528,2/24/2023,52,0,A10
34,6.226142067,0.995617376,3/10/2023,47,0,A10
34,6.045408198,0.984414261,3/24/2023,37,0,A10
34,5.084546429,0.982196824,4/21/2023,53,0,A10
34,6.616393562,0.976728406,5/12/2023,36,0,A10
34,6.271742887,0.992688565,5/19/2023,47,0,A10
34,5.433592888,0.990416612,5/5/2023,52,0,A10
39,2.694816109,0.995274404,1/13/2023,82,0,B1
39,2.603152331,0.996875906,1/27/2023,95,0,B1
39,2.419505105,0.990263352,12/23/2022,114,0,B1
39,2.603300509,0.995744015,2/10/2023,95,0,B1
39,2.369200424,0.994202012,2/24/2023,113,0,B1
39,5.806687783,0.992812688,3/10/2023,42,0,B1
39,2.725089094,0.989737165,4/21/2023,84,0,B1
39,2.362844611,0.994948121,5/12/2023,117,0,B1
39,2.459807448,0.993531119,5/19/2023,107,0,B1
39,2.425836668,0.993632964,5/5/2023,111,0,B1
40,0.990415187,0.988570685,1/27/2023,167,0,B2
40,1.599236182,0.970544641,12/23/2022,136,0,B2
40,1.555627609,0.912535211,2/10/2023,62,35,B2
40,2.751428097,0.970512929,3/10/2023,68,0,B2
40,2.19674539,0.960361174,4/21/2023,76,0,B2
40,1.855831844,0.976482317,5/12/2023,97,0,B2
41,4.50442451,0.95441066,2/20/2023,45,0,B3
41,4.739066451,0.989262445,2/24/2023,37,0,B3
41,3.432496515,0.982736482,3/10/2023,63,0,B3
41,4.08497496,0.990039369,4/21/2023,59,0,B3
41,3.248289287,0.996315831,5/12/2023,69,0,B3
41,3.553421915,0.992951234,5/19/2023,72,0,B3
42,1.969801972,0.973339506,2/24/2023,93,0,B4
42,2.194216501,0.98978657,3/10/2023,113,0,B4
42,2.00463629,0.97680911,4/21/2023,85,0,B4
42,2.369462302,0.974112783,5/19/2023,77,0,B4
42,3.719065043,0.953226702,5/5/2023,30,0,B4
43,0.286696684,0.976361053,2/10/2023,467,0,B5
43,0.328923275,0.95079151,2/16/2023,411,339,B5
43,2.550890762,0.970879762,2/20/2023,81,0,B5
43,2.291448288,0.962987292,2/24/2023,75,0,B5
43,2.475260621,0.957840845,3/10/2023,65,0,B5
43,2.568158936,0.967064882,4/21/2023,87,0,B5
43,2.678490548,0.967931965,5/12/2023,67,0,B5
43,3.172306597,0.964473395,5/19/2023,92,59,B5
43,2.751569031,0.972383266,5/5/2023,87,0,B5
44,0.230359216,0.962483415,2/10/2023,581,0,B6
44,3.425960777,0.949489973,2/16/2023,59,47,B6
44,2.343055243,0.954449233,2/24/2023,90,70,B6
44,1.983459199,0.973956842,3/10/2023,96,0,B6
44,2.036212906,0.975759695,4/21/2023,31,0,B6
44,1.056101804,0.963069575,5/5/2023,155,0,B6
45,3.117866305,0.967495761,2/16/2023,63,0,B7
45,2.594786505,0.987378426,3/10/2023,57,0,B7
45,2.187393838,0.979972466,4/21/2023,95,0,B7
45,2.19577868,0.95857563,5/12/2023,87,0,B7
45,2.430279043,0.961751846,5/19/2023,87,0,B7
45,2.996841225,0.966393263,5/5/2023,79,0,B7
46,4.605373251,0.951738147,2/22/2023,43,0,B8
46,3.429327824,0.955989882,2/24/2023,51,0,B8
46,1.725497967,0.967695444,3/10/2023,90,0,B8
46,2.172048509,0.973216722,4/21/2023,61,0,B8
46,2.080656627,0.950656576,5/12/2023,69,0,B8
46,2.611400948,0.982517018,5/5/2023,63,0,B8
47,3.422366665,0.984453879,2/16/2023,57,0,B9
47,3.679748014,0.985535056,2/24/2023,43,0,B9
47,2.750446186,0.977422239,3/10/2023,89,0,B9
47,2.180991392,0.951814789,4/21/2023,94,0,B9
