ID,ACH2CR,ACH4CR,ACH6CR,ACH8CR,ACH10CR,ACH12CR,ACH14CR,ACH16CR,ACH18CR,ACH20CR,ACH21CR,ACH22CR
18,1.64149,0,1.92359,1.534374,1.945279,2.020291,2.099931,2.032747,2.332145,1.960824,1.685139,2.422266
14,0,0,3.17472,3.728221,2.985251,0,0,3.427918,2.38316,3.520203,3.350977,3.149862
20,0,1.39899,0,1.348497,2.171678,2.24543,2.362564,1.945222,2.166997,1.47791,1.636417,2.091064
10,0,1.76642,0,2.282168,2.807808,1.827755,1.867783,1.933058,2.431415,0,0,0
15,0,0,2.91702,4.487192,3.862133,4.510564,3.402626,4.154888,4.00043,3.854502,4.16063,3.354283
22,0.19201,0.79516,0.4412,1.471176,0.955564,0,0.650746,0,1.454193,2.124882,0,0.822453
16,1.53573,0,0,2.062292,1.238282,1.607238,1.61199,2.329301,0,0.838505,1.671636,0.45223
34,0,4.07483,1.17913,3.667624,3.542631,4.143105,4.372037,3.754716,1.125332,2.970349,5.085981,4.509726
33,0,0,2.19701,5.309746,0,2.036694,1.906102,1.501123,1.980635,3.178016,3.133526,2.583989
19,0,4.41487,4.3924,3.428658,1.188261,0,0,0,0,0,0,0
