ID,ACH Linear Fit,R Square Linear Fit,Date,Total Data Point,Index to slice,Id
10,2.6452,0.9561,1/12/2023,114,72,A1
10,2.495794348,0.994751143,1/26/2023,104,0,A1
10,1.750512925,0.941137542,12/18/2022,182,58,A1
10,2.337543133,0.995310321,2/23/2023,116,81,A1
10,2.4691308,0.9517338,2/9/2023,103,83,A1
10,1.965650809,0.980034246,3/9/2023,124,0,A1
10,2.212421032,0.993766719,3/23/2023,116,0,A1
10,1.99529119,0.99244079,4/6/2023,132,0,A1
10,2.013587919,0.989315651,4/20/2023,121,0,A1
10,2.344016537,0.991832796,5/11/2023,107,0,A1
10,2.296645658,0.967979574,5/18/2023,122,0,A1
10,2.142610859,0.990636513,5/4/2023,108,0,A1
14,3.317544926,0.920233031,1/12/2023,69,44,A2
14,2.42283713,0.925937283,11/28/2023,51,50,A2
14,2.26720379,0.962486525,12/22/2022,66,44,A2
14,3.066939454,0.918180761,2/23/2023,56,55,A2
14,2.98118283,0.963580106,2/9/2023,63,0,A2
14,2.838150677,0.968461425,3/9/2023,47,0,A2
14,3.883533853,0.918691351,3/23/2023,67,53,A2
14,3.196531865,0.946169032,4/6/2023,150,75,A2
14,2.433031182,0.902080715,5/11/2023,112,76,A2
14,2.23969167,0.964037183,5/18/2023,117,0,A2
14,2.522818218,0.970077885,5/4/2023,92,0,A2
15,1.868248913,0.993458476,1/12/2023,146,0,A3
15,2.439568075,0.979834772,1/26/2023,126,0,A3
15,1.218475113,0.958690732,12/18/2022,101,0,A3
15,2.537497913,0.96759608,12/22/2022,49,0,A3
15,2.33643296,0.993495823,2/23/2023,106,0,A3
15,2.419158951,0.99193037,2/9/2023,129,74,A3
15,1.724538755,0.952179751,3/9/2023,146,0,A3
15,2.534753671,0.992307359,3/23/2023,101,0,A3
15,2.006534241,0.99026265,4/6/2023,134,0,A3
15,2.134198705,0.976909643,4/20/2023,124,0,A3
15,1.743156568,0.966058054,5/11/2023,149,0,A3
15,1.851100895,0.952032033,5/18/2023,140,0,A3
15,2.440476865,0.987573085,5/4/2023,814,73,A3
16,2.213707543,0.962845945,1/26/2023,158,63,A4
16,2.242342013,0.950842537,2/23/2023,76,63,A4
16,2.4172838,0.955041647,2/9/2023,102,59,A4
16,2.388332165,0.943990877,3/9/2023,96,65,A4
16,2.465376788,0.963467097,3/23/2023,84,51,A4
16,2.298885731,0.954421332,4/6/2023,202,58,A4
16,2.749200797,0.936291878,5/11/2023,75,65,A4
16,2.61519566,0.939615274,5/18/2023,95,70,A4
16,3.16082069,0.94560677,5/4/2023,71,51,A4
18,2.208055257,0.98997228,1/12/2023,111,0,A5
18,3.046413576,0.98959308,1/26/2023,85,0,A5
18,1.151964468,0.945135359,12/11/2022,116,97,A5
18,1.999759501,0.968716625,12/22/2022,98,0,A5
18,2.330558694,0.984185596,2/23/2023,107,0,A5
18,2.62604297,0.981867258,2/9/2023,100,0,A5
18,1.819836058,0.982370011,3/9/2023,142,0,A5
18,2.170148987,0.993456656,3/23/2023,120,0,A5
18,1.942935702,0.990397636,4/6/2023,138,0,A5
18,1.960292195,0.985348359,4/20/2023,133,0,A5
18,2.191743349,0.991283314,5/11/2023,112,0,A5
18,2.173662952,0.97956623,5/18/2023,123,0,A5
18,2.208300443,0.988253522,5/4/2023,117,0,A5
19,4.516793107,0.972077499,1/12/2023,27,0,A6
19,3.257407333,0.979418428,1/26/2023,67,0,A6
19,3.902873027,0.958423606,2/23/2023,49,0,A6
19,3.695975925,0.977896594,2/9/2023,54,0,A6
19,3.433596512,0.982899574,3/9/2023,100,40,A6
20,2.142469723,0.989055248,1/12/2023,110,0,A7
20,3.358232706,0.975908061,1/26/2023,82,0,A7
20,1.212891259,0.956482846,12/11/2022,99,42,A7
20,2.268615889,0.988873206,12/22/2022,72,0,A7
20,2.580932773,0.993968283,2/23/2023,111,0,A7
20,3.007461938,0.993005377,2/9/2023,98,0,A7
20,2.107600888,0.974901385,3/9/2023,134,0,A7
20,2.15668316,0.991978417,3/23/2023,124,88,A7
20,1.98398497,0.98759566,4/6/2023,122,0,A7
20,3.111719208,0.991177692,4/27/2023,82,0,A7
20,2.357396835,0.988782696,5/11/2023,123,90,A7
